"TIME","GEO","AIRPOL","NACE_R1","UNIT","Value","Flag and Footnotes"
"1999","European Union (27 countries)","Sulphur oxides","Total - all NACE activities","Tonne","11,670,560.23",""
"1999","European Union (27 countries)","Sulphur oxides","Agriculture, hunting and forestry","Tonne","140,081.53",""
"1999","European Union (27 countries)","Sulphur oxides","Fishing","Tonne","22,057.59",""
"1999","European Union (27 countries)","Sulphur oxides","Mining and quarrying","Tonne","120,900.51",""
"1999","European Union (27 countries)","Sulphur oxides","Manufacturing","Tonne","3,003,282.19",""
"1999","European Union (27 countries)","Sulphur oxides","Electricity, gas and water supply","Tonne","6,890,009.73",""
"1999","European Union (27 countries)","Sulphur oxides","Construction","Tonne","49,909.47",""
"1999","European Union (27 countries)","Sulphur oxides","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","Tonne","50,411.07",""
"1999","European Union (27 countries)","Sulphur oxides","Hotels and restaurants","Tonne","7,966.08",""
"1999","European Union (27 countries)","Sulphur oxides","Transport, storage and communication","Tonne","1,220,858.08",""
"1999","European Union (27 countries)","Sulphur oxides","Financial intermediation","Tonne","7,307.46",""
"1999","European Union (27 countries)","Sulphur oxides","Public administration and defence; compulsory social security","Tonne","48,601.3",""
"1999","European Union (27 countries)","Sulphur oxides","Education","Tonne","20,709.24",""
"1999","European Union (27 countries)","Sulphur oxides","Health and social work","Tonne","29,663.16",""
"1999","European Union (27 countries)","Sulphur oxides","Other community, social and personal service activities","Tonne","32,602.29",""
"1999","European Union (27 countries)","Sulphur oxides","Extra-territorial organizations and bodies","Tonne","656.18",""
"1999","European Union (27 countries)","Nitrogen oxides","Total - all NACE activities","Tonne","12,005,809",""
"1999","European Union (27 countries)","Nitrogen oxides","Agriculture, hunting and forestry","Tonne","1,179,985.66",""
"1999","European Union (27 countries)","Nitrogen oxides","Fishing","Tonne","99,669.9",""
"1999","European Union (27 countries)","Nitrogen oxides","Mining and quarrying","Tonne","224,184.61",""
"1999","European Union (27 countries)","Nitrogen oxides","Manufacturing","Tonne","2,331,154.82",""
"1999","European Union (27 countries)","Nitrogen oxides","Electricity, gas and water supply","Tonne","2,266,730.47",""
"1999","European Union (27 countries)","Nitrogen oxides","Construction","Tonne","486,427.35",""
"1999","European Union (27 countries)","Nitrogen oxides","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","Tonne","509,078.91",""
"1999","European Union (27 countries)","Nitrogen oxides","Hotels and restaurants","Tonne","42,776.92",""
"1999","European Union (27 countries)","Nitrogen oxides","Transport, storage and communication","Tonne","4,141,889.6",""
"1999","European Union (27 countries)","Nitrogen oxides","Financial intermediation","Tonne","28,906.44",""
"1999","European Union (27 countries)","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","134,822.59",""
"1999","European Union (27 countries)","Nitrogen oxides","Education","Tonne","43,368.46",""
"1999","European Union (27 countries)","Nitrogen oxides","Health and social work","Tonne","64,922.74",""
"1999","European Union (27 countries)","Nitrogen oxides","Other community, social and personal service activities","Tonne","139,815.1",""
"1999","European Union (27 countries)","Nitrogen oxides","Extra-territorial organizations and bodies","Tonne","360.41",""
"1999","European Union (27 countries)","Methane","Total - all NACE activities","Tonne","22,424,029.89",""
"1999","European Union (27 countries)","Methane","Agriculture, hunting and forestry","Tonne","10,329,506.14",""
"1999","European Union (27 countries)","Methane","Fishing","Tonne","519.28",""
"1999","European Union (27 countries)","Methane","Mining and quarrying","Tonne","2,674,032.02",""
"1999","European Union (27 countries)","Methane","Manufacturing","Tonne","916,794.9",""
"1999","European Union (27 countries)","Methane","Electricity, gas and water supply","Tonne","1,048,820.08",""
"1999","European Union (27 countries)","Methane","Construction","Tonne","8,478.11",""
"1999","European Union (27 countries)","Methane","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","Tonne","71,180.49",""
"1999","European Union (27 countries)","Methane","Hotels and restaurants","Tonne","3,890.42",""
"1999","European Union (27 countries)","Methane","Transport, storage and communication","Tonne","110,306.38",""
"1999","European Union (27 countries)","Methane","Financial intermediation","Tonne","1,846.17",""
"1999","European Union (27 countries)","Methane","Public administration and defence; compulsory social security","Tonne","21,274.78",""
"1999","European Union (27 countries)","Methane","Education","Tonne","5,608.96",""
"1999","European Union (27 countries)","Methane","Health and social work","Tonne","7,191.96",""
"1999","European Union (27 countries)","Methane","Other community, social and personal service activities","Tonne","7,215,019.34",""
"1999","European Union (27 countries)","Methane","Extra-territorial organizations and bodies","Tonne","37.65",""
"1999","European Union (27 countries)","Nitrous oxide","Total - all NACE activities","Tonne","1,275,251.82",""
