"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Education","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Total - all NACE activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","European Union (28 countries)","Methane","Education","Tonne",":",""
"2006","European Union (28 countries)","Methane","Human health and social work activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Education","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Education","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Belgium","Nitrogen oxides","Total - all NACE activities","Tonne","240,792.16",""
"2006","Belgium","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","7,514.25",""
"2006","Belgium","Nitrogen oxides","Education","Tonne","1,542.11",""
"2006","Belgium","Nitrogen oxides","Human health and social work activities","Tonne","1,197.67",""
"2006","Belgium","Methane","Total - all NACE activities","Tonne","349,444.91",""
"2006","Belgium","Methane","Public administration and defence; compulsory social security","Tonne","104.18",""
"2006","Belgium","Methane","Education","Tonne","205.04",""
"2006","Belgium","Methane","Human health and social work activities","Tonne","180.07",""
"2006","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","25,216.2",""
"2006","Belgium","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","33.71",""
"2006","Belgium","Nitrous oxide","Education","Tonne","8.2",""
"2006","Belgium","Nitrous oxide","Human health and social work activities","Tonne","308.71",""
"2006","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","96,017,639",""
"2006","Belgium","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","1,880,892",""
"2006","Belgium","Carbon dioxide","Education","Tonne","685,796",""
"2006","Belgium","Carbon dioxide","Human health and social work activities","Tonne","610,983",""
"2006","Bulgaria","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Education","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Bulgaria","Methane","Total - all NACE activities","Tonne",":",""
"2006","Bulgaria","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Bulgaria","Methane","Education","Tonne",":",""
"2006","Bulgaria","Methane","Human health and social work activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Education","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Education","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Czech Republic","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Czech Republic","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Czech Republic","Nitrogen oxides","Education","Tonne",":",""
"2006","Czech Republic","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Czech Republic","Methane","Total - all NACE activities","Tonne",":",""
"2006","Czech Republic","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Czech Republic","Methane","Education","Tonne",":",""
"2006","Czech Republic","Methane","Human health and social work activities","Tonne",":",""
"2006","Czech Republic","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Czech Republic","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Czech Republic","Nitrous oxide","Education","Tonne",":",""
"2006","Czech Republic","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Czech Republic","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Czech Republic","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Czech Republic","Carbon dioxide","Education","Tonne",":",""
"2006","Czech Republic","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Denmark","Nitrogen oxides","Total - all NACE activities","Tonne","1,298,523.4",""
"2006","Denmark","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","2,041.59",""
"2006","Denmark","Nitrogen oxides","Education","Tonne","421.49",""
"2006","Denmark","Nitrogen oxides","Human health and social work activities","Tonne","368.77",""
"2006","Denmark","Methane","Total - all NACE activities","Tonne","313,418.24",""
"2006","Denmark","Methane","Public administration and defence; compulsory social security","Tonne","42.07",""
"2006","Denmark","Methane","Education","Tonne","48.93",""
"2006","Denmark","Methane","Human health and social work activities","Tonne","85.54",""
"2006","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","18,833.2",""
"2006","Denmark","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","8.86",""
"2006","Denmark","Nitrous oxide","Education","Tonne","3.53",""
"2006","Denmark","Nitrous oxide","Human health and social work activities","Tonne","43.38",""
"2006","Denmark","Carbon dioxide","Total - all NACE activities","Tonne","94,787,263",""
"2006","Denmark","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","360,335",""
"2006","Denmark","Carbon dioxide","Education","Tonne","144,350",""
"2006","Denmark","Carbon dioxide","Human health and social work activities","Tonne","221,212",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrogen oxides","Education","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Methane","Total - all NACE activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Methane","Education","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Methane","Human health and social work activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
