"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Agriculture, forestry and fishing","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Mining and quarrying","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Manufacturing","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Electricity, gas, steam and air conditioning supply","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Water supply; sewerage, waste management and remediation activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Transportation and storage","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Accommodation and food service activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Information and communication","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Financial and insurance activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Real estate activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Professional, scientific and technical activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Administrative and support service activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Education","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Arts, entertainment and recreation","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Other service activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne",":",""
"2006","European Union (28 countries)","Nitrogen oxides","Activities of extraterritorial organisations and bodies","Tonne",":",""
"2006","European Union (28 countries)","Methane","Total - all NACE activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Agriculture, forestry and fishing","Tonne",":",""
"2006","European Union (28 countries)","Methane","Mining and quarrying","Tonne",":",""
"2006","European Union (28 countries)","Methane","Manufacturing","Tonne",":",""
"2006","European Union (28 countries)","Methane","Electricity, gas, steam and air conditioning supply","Tonne",":",""
"2006","European Union (28 countries)","Methane","Water supply; sewerage, waste management and remediation activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne",":",""
"2006","European Union (28 countries)","Methane","Transportation and storage","Tonne",":",""
"2006","European Union (28 countries)","Methane","Accommodation and food service activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Information and communication","Tonne",":",""
"2006","European Union (28 countries)","Methane","Financial and insurance activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Real estate activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Professional, scientific and technical activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Administrative and support service activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","European Union (28 countries)","Methane","Education","Tonne",":",""
"2006","European Union (28 countries)","Methane","Human health and social work activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Arts, entertainment and recreation","Tonne",":",""
"2006","European Union (28 countries)","Methane","Other service activities","Tonne",":",""
"2006","European Union (28 countries)","Methane","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne",":",""
"2006","European Union (28 countries)","Methane","Activities of extraterritorial organisations and bodies","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Agriculture, forestry and fishing","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Mining and quarrying","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Manufacturing","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Electricity, gas, steam and air conditioning supply","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Water supply; sewerage, waste management and remediation activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Transportation and storage","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Accommodation and food service activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Information and communication","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Financial and insurance activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Real estate activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Professional, scientific and technical activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Administrative and support service activities","Tonne",":",""
"2006","European Union (28 countries)","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
