"TIME","CPA02","AIRPOL","ORIGIN","UNIT","T_COLS","GEO","Value","Flag and Footnotes"
"2000","Total","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","12,915,613","e"
"2000","Total","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","13,866,875","e"
"2000","Total","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","27,149,223","e"
"2000","Total","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","1,519,401","e"
"2000","Total","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","4,080,100,060","e"
"2000","Products of agriculture, hunting and related services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","148,330","e"
"2000","Products of agriculture, hunting and related services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","475,656","e"
"2000","Products of agriculture, hunting and related services","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","3,785,268","e"
"2000","Products of agriculture, hunting and related services","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","339,314","e"
"2000","Products of agriculture, hunting and related services","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","62,348,610","e"
"2000","Products of forestry, logging and related services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","6,233","e"
"2000","Products of forestry, logging and related services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","26,814","e"
"2000","Products of forestry, logging and related services","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","72,282","e"
"2000","Products of forestry, logging and related services","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","6,586","e"
"2000","Products of forestry, logging and related services","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","3,587,460","e"
"2000","Fish and other fishing products; services incidental to fishing","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","21,294","e"
"2000","Fish and other fishing products; services incidental to fishing","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","66,080","e"
"2000","Fish and other fishing products; services incidental to fishing","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","14,482","e"
"2000","Fish and other fishing products; services incidental to fishing","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","760","e"
"2000","Fish and other fishing products; services incidental to fishing","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","5,993,340","e"
"2000","Coal and lignite; peat","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","8,009","e"
"2000","Coal and lignite; peat","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","5,186","e"
